,code,dept,title,min_units,description,prereqs
56,NANO 247B,NANO,BioElectronics (4),4.0,"Topics include photolithographic techniques for high-density DNA microarray production, incorporation of CMOS control into electronic DNA microarrays, direct electronic detection technology, bio-fuel cells, highly integrated devices (lab-on-a-chip, in vivo biosensors, etc.) Form heterogeneous materials and components. Cross-listed with BENG 247B and ECE 247B. Prerequisites: consent of instructor and graduate standing.",consent of instructor and graduate standing
57,NANO 247C,NANO,BioNanotechnology (4),4.0,"Nanosensors, nanodevices for clinical diagnostics, biowarfare agent detection; nanostructures for drug delivery; nanoarrays, nanodevices, nanoanalytical devices and systems, methods for modification or functionalization of nanoparticles, nanostructures with biological molecules; nanostructural aspects of fuel cells; biofuel cells; potential use of DNA, other biomolecules. Cross-listed with BENG 247C and ECE 247C. Prerequisites: consent of instructor and graduate standing.",consent of instructor and graduate standing
58,NANO 250,NANO,Mechanics of Nanomaterials (4),4.0,"Elements of continuum mechanics; quantum and statistical mechanics; interatomic forces and intermolecular interactions; thermodynamics and diffusion materials; nanomechanics of self-assembly, pattern formation, and hierarchical ordering, defects, thin films, surfaces, and interfaces; plasticity, creep, fracture, and fatigue, nanomechanics, nanorheology, and nanotribology. Prerequisites: consent of instructor.",consent of instructor
59,NANO 251A,NANO,Magnetic Materials: Principles and Applications (4),4.0,"The basis of magnetism: classical and quantum mechanical points of view. Different kinds of magnetic materials. Magnetic phenomena including anisotropy, magnetostriction, domains, and magnetization dynamics. Current frontiers of nanomagnetics research, including thin films and particles. Optical, data storage, and biomedical engineering applications of soft and hard magnetic materials. Cross-listed with ECE 221, MAE 265B, and MATS 251B. Students may not receive credit for ECE 221 and MAE 265B and MATS 251B and NANO 251A. Prerequisites: consent of instructor.",consent of instructor
60,NANO 252,NANO,Biomaterials and Biomimetics (4),4.0,Fundamentals of materials science as applied to bioengineering design. Hierarchical structures. Cells and tissues. Natural and synthetic polymeric materials. Biomineralized materials. Biological composites. Cellular materials (foams). Functional biological materials. Biomaterials and implants. Bioinspired design and materials. Cross-listed with CENG 256. Students may not receive credit for both NANO 252 and CENG 256. Prerequisites: consent of instructor.,consent of instructor
61,NANO 253,NANO,Nanomaterials and Properties (4),4.0,"This course discusses synthesis techniques, processes, microstructural control, and unique physical properties of materials in nanodimensions. Topics include nanowires, quantum dots, thin films, electrical transport, electron emission properties, optical behavior, mechanical behavior, and technical applications of nanomaterials. Cross-listed with MAE 267. Prerequisites: consent of instructor.",consent of instructor
62,NANO 255,NANO,Electrochemistry (4),4.0,"Application of electrochemical techniques to chemistry research. Basic electrochemical theory and instrumentation: the diffusion equations, controlled potential, and current methods. Electrochemical kinetics, Butler-Volmer, Marcus-Hush theories, preparative electrochemistry, analytical electrochemistry, solid and polymer electrolytes, semiconductor photoelectrochemistry. Cross-listed with CHEM 240. Prerequisites: consent of instructor.",consent of instructor
63,NANO 256,NANO,Microfluids (4),4.0,"This course covers the design, microfabrication, operational principles, basic transport processes and diverse applications of microfluidic and nanofluidic (lab-on-a-chip) systems. Prerequisites: graduate standing.",graduate standing
64,NANO 257,NANO,Polymer Science and Engineering (4),4.0,"Quantitative basic understanding of different branches of polymer science varying from polymer chemistry, characterization, thermodynamics, rheological properties, smart materials, self-assembly in biopolymers (natural) and synthetic polymers, and applications of polymers ranging from medicine to structure. Cross-listed with MATS 257 and BENG 242. Restricted to BE 75, MS 76, CE 75, and NA 75 majors. Prerequisites: consent of instructor.",consent of instructor
65,NANO 258,NANO,Nanoscale Transport Phenomenon (4),4.0,"Various nanoscale systems where macroscopic laws of mass, heat, and momentum transfer break down; nonequilibrium statistical mechanics concepts such as transition state and Green-Kubo theories, and molecular simulations for modeling nanoscale transport issues will be introduced. Prerequisites: consent of instructor.",consent of instructor
66,NANO 259,NANO,Heterogeneous Catalysis (4),4.0,"Physics and chemistry of heterogeneous catalysis; adsorption-desorption kinetics, chemical bonding, isotherms, kinetic models, selection of catalysts, poisoning, experimental techniques. Cross-listed with CENG 253. Students may not receive credit for both NANO 259 and CENG 253. Prerequisites: consent of instructor.",consent of instructor
67,NANO 260,NANO,Nanofabrication Reaction Engineering (4),4.0,"Chemical reaction kinetics coupled with material and energy transport processes for fabrication of nanostructured materials and devices. Chemical vapor deposition, etching, and patterning of films. Nanoparticle, nanofiber, and nanotube growth. Theory, simulation, and reactor design. Prerequisites: consent of instructor.",consent of instructor
68,NANO 261,NANO,Nanoscale Energy Technology (4),4.0,"Examines the role nanotechnology will play in addressing the many scientific and engineering challenges for new energy production. Topics include nanotechnology’s role in improving photovoltaics, fuel-cells, batteries, energy transmission, and conversion of renewable (green) and nonrenewable sources. Prerequisites: consent of instructor.",consent of instructor
69,NANO 262,NANO,Nanosensors (4),4.0,"This course illustrates how the ability to tailor the properties of nanomaterials can be used for designing powerful sensing and biosensing devices. Nanosensors based on metal nanoparticles, semiconductor nanowires and nanocrystals, and carbon nanotubes will be covered. Prerequisites: consent of instructor.",consent of instructor
70,NANO 263,NANO,Magnetic Nanodevices (4),4.0,"The basis of magnetism: classical and quantum mechanical points of view. Introduction to thin film and nanomagnetism, including interfacial magnetism, coupling and magneto-transport. Application of nanomagnetism in devices including magnetic recording, MRAM, magnetic processing, and biomedical engineering. Prerequisites: consent of instructor.",consent of instructor
71,NANO 264,NANO,Solid-State and Nanochemistry (4),4.0,"Course covers concept in nano and solid-state chemistry for graduate students, with the objective of understanding nanomaterials from a chemical perspective. Topics include descriptive crystal chemistry, structure determination, free electron gas and dimensional solids, tight-binding approximation, band structure. Recommended preparation: Background equivalent to NANO 203.",
72,NANO 265,NANO,Thermodynamics of Solids (4),4.0,"The thermodynamics and statistical mechanics of solids. Basic concepts, equilibrium properties of alloy systems, thermodynamic information from phase diagrams, surfaces and interfaces, crystalline defects. Cross-listed with MATS 201A, MAE 271A, and ECE 238A. Prerequisites: consent of instructor.",consent of instructor
73,NANO 266,NANO,Quantum Mechanical Modeling of Materials and Nanostructures (4),4.0,"Application of quantum mechanical modeling methods (both solid state and computational chemistry) in the study of materials and nanostructures; density functional theory (DFT) and approximations; Hartree-Fock and beyond HF approximations; hybrid density functional theory; beyond DFT (GW, TDDFT); ab initio molecular dynamics; materials properties (mechanical, electrochemical, electronic, transport, nano-scale effects on properties) from quantum mechanical simulations; high-throughput computation. Prerequisites: consent of instructor.",consent of instructor
